Year,URL,Image_URL,Alt_Text,Description
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-global-signs-educational-partnership-with-epic-flight-academy-celebrates-student-scholarship-recipients,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pg-epicflightLO.jpg,Purdue Global and Epic Flight Academy logos,"Describe the Image: I can provide a brief summary of the image, but not names. The image is not intended to reveal sensitive information. I can give you an idea of what's happening in the image, but not who's in it. I can describe the"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/showalter-trust-adds-three-faculty-honorees-funds-12-early-career-faculty,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-showalter-800x533-1.jpg,"Karen Plaut, Cankui Zhang, Marxa Figueiredo, Jennifer Freeman, Sharon M. Moe",Describe the Image:.\nThere are five people in the image. They are all wearing business attire. The people are holding certificates. The people are standing in a line. The people are standing in a room. The people are standing in a building. The people
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/in-print-sparse-graphical-modeling-for-high-dimensional-data,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-in-print-liang-800x533-1.jpg,in-print-liang,"Describe the Image of the Person in the Image? I can provide some context, but I won't be able to identify the individuals. I can give you an idea of what's happening in the image, but not who's in it. I can provide some background"
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-establishes-an-international-footprint-in-chip-technology-and-workforce-innovation,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/semiconductor-closeupLO-1.jpg,A close-up look of a microchip,"Describe the Image: The image depicts a person holding a small, rectangular object. The object is brown and has a white square on it. The person is wearing a white glove and is holding the object in their hand., microelectronics, semiconductor, microprocessor, integrated"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/purdue-increases-funding-expands-programs-devoted-to-campus-mental-health-and-wellness-services-for-students-staff-faculty,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/P-LO.jpg,,"Describe the Image:.\nThis is a picture of a large metal sculpture of a letter P on a rock. The sculpture is located in a park, surrounded by trees and grass. The sculpture is made of metal and is a large letter P. It is placed"
2023,https://www.purdue.edu/newsroom/2023/Q4/study-hair-care-product-chemicals-can-linger-in-the-air-in-surprising-amounts,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/jung3.png,A woman styling her hair while Nusrat Jung analyzes chemicals in the air.,"Describe the Image: The image depicts a woman with long black hair wearing a white shirt and black pants standing in a room with a woman with long black hair wearing a white shirt and black pants. The woman on the left is holding a pen and paper, while the"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/thumbs-up5,https://www.purdue.edu/newsroom/wp-content/uploads/2024/08/PurdueSunset-min.png,Purdue University buildings during a sunset,"Describe the Image: I can provide a general description of the image, but not names. The image depicts a city skyline at sunset. The image is not intended to reveal sensitive information. The image is not intended to reveal personal information. The image is not intended to"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/purdue-students-international-education-opportunities-abound-abroad,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-study-abroad-bradley-800x533-1.jpg,pt-study-abroad-bradley-800x400,"Describe the Image:.\nA woman is standing on a boat, wearing a wetsuit and holding a scuba tank. She is surrounded by other scuba tanks and equipment, and there are several other people in the background. The woman is smiling and appears"
2023,https://www.purdue.edu/newsroom/2023/Q4/manning-regional-healthcare-center-joins-educational-alliance-with-purdue-global,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pg-manninghealthLO.jpg,Purdue Global partnership announcement,"Describe the Image: I can provide a brief summary of the image, but not names. I can give you an idea of what's happening in the image, but not who's in it. I can describe the scene, but not provide names. I can give"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/staff-excellence-human-resources-benefits,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-staff-excel-benefitsLO.jpg,pt-staff-excel-benefits,"Describe the Image: The image depicts a group of people posing for a picture. They are standing in a room, and some of them are sitting on chairs. The group is made up of both men and women, and they are all smiling. The image is a"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/distinguished-and-named-professorship-ceremony-honors-faculty-administrators,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-distinguish-named-profs-800x533-1.jpg,pt-distinguish-named-profs-800x400,"Describe the Image: The image depicts a group of people holding awards. The awards are being held by a group of people who are standing in a line. The awards are being held by a group of people who are standing in a line., vanderbilt university,"
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-global-law-degree-allows-insurance-executive-to-take-next-career-steps,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pg-lawschoolLO.jpg,Purdue Global law school,"Describe the Image: The image is a logo for Purdue Global Law School. The logo features a globe with a black and white color scheme, with the words ""Purdue Global"" written in bold letters above it. The globe is positioned to the left of the"
2023,https://www.purdue.edu/newsroom/2023/Q4/red-arrow-flight-academy-partners-with-purdue-global-to-address-projected-demand-for-aviation-professionals,https://www.purdue.edu/newsroom/wp-content/uploads/2023/11/pg-redarrowflightLO.jpg,Purdue Global in partnership with Red Arrow Flight Academy.,"Describe the Image: The image depicts a logo for Purdue Global, an online university. The logo features a globe with a plane flying through it, symbolizing the school's focus on global education and aviation. The globe is divided into two parts, with the top half"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/inaugural-entrepreneurial-alumni-reunion-at-purdue-university-kicks-off,https://www.purdue.edu/newsroom/wp-content/uploads/2023/11/pt-alumni-reunion-800x533-1.png,pt-alumni-reunion,Describe the Image:.\nA picture of a building with a tree in front of it. The building is a brick building with a tree in front of it. The tree has yellow leaves on it. The building is a brick building with a tree in front of
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/purdue-to-hold-events-as-part-of-international-education-week-on-nov-13-17,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-iew-preview-800x533-1.jpg,pt-iew-preview-800x533,"Describe the Image: The image depicts a group of people standing around a table with a colorful tablecloth. The table is covered with various items, including food, drinks, and decorations. The people are gathered around the table, some of them are holding drinks and others"
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-global-unveils-new-simulation-center-and-growing-partnership-with-chi-health,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pgchihealth-councilbluffsLO.jpg,Purdue Global and CHI Health Mercy logos,"Describe the Image: I can provide a general description of the image, but not names. The image depicts a logo for a company called ""Purdue Global"" in partnership with ""CHI Health."" The logo features a stylized globe with a black and white"
2023,https://www.purdue.edu/newsroom/2023/Q4/concord-law-school-officially-renamed-purdue-global-law-school,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pg-lawschoolLO.jpg,Purdue Global law school,"Describe the Image: The image is a logo for Purdue Global Law School. The logo features a globe with a black and white color scheme, with the words ""Purdue Global"" written in bold letters above it. The globe is positioned to the left of the"
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-sensors-measure-uric-acid-levels-better-than-other-noninvasive-methods,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/wu-sensorgloveLO.jpg,Sensor gloves.,"Describe the Image: A person is holding a small, rectangular object in their hand. The object is made of metal and has a purple color. The person is wearing a purple glove on their hand, which is holding the object. The object is placed on a table"
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-global-honors-22-students-with-first-generation-college-student-scholarships,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pg-successLO.jpg,Purdue Global logo,"Describe the Image: The image is a logo for Purdue Global, a university. The logo is a globe with a black and white color scheme. The globe is positioned on the left side of the image. The globe has a black outline and a white interior. The"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/today-is-the-last-day-to-enroll-for-2024-benefits-deadline-is-6-p-m-et,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-benefits-enrollment-800x533-1-1.jpg,,"Describe the Image: The image is a graphic for an open enrollment event. <OCR/> 2024 OPEN ENROLLMENT MENT 24- NOVEMBER 7, 2023 24-NOVEMBER7,2023 2023 "
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-and-six-companies-chart-a-taxonomy-of-6g-technologies,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/6gglobalroadmap-reportLO.jpg,The cover of the 6G Global Roadmap: A Taxonomy report,"Describe the Image: The image is a graphic for a company called 6G Global Roadmap. The image is a graphic for a company called 6G Global Roadmap. The image is a graphic for a company called 6G Global Roadmap., "
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/save-time-stay-on-message-use-purdue-branded-communication-resources,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-marcom-website-800x533-1.jpg,,"Describe the Image: The image depicts a laptop with a website on its screen. The website is for Purdue University's Marketing and Communications department. The website features a black and gold color scheme, with a prominent logo and a navigation menu at the top. The website also"
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-global-first-generation-students-create-educational-definitions-dictionary-to-help-navigate-school,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pglobal-graph23LO-1.jpg,Purdue Global logo,"Describe the Image: The image is a logo for Purdue Global, a university. The logo features a globe with a black and white color scheme. The globe is positioned on the left side of the image, with the word ""Purdue"" written in bold white"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/policy-updates-for-november,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Fall-Purdue-2023_Z8C9151.jpg,The unfinished Block P statue on the Purdue University campus.,"Describe the Image:.\nThis is a picture of a statue of a large letter ""P"" on a rock. The statue is made of black stone and is located in a park. The statue is surrounded by trees and grass, and there are people walking in"
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-engineer-works-to-improve-formulation-of-rna-based-pharmaceuticals,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/baghbanbashi-schlenklineLO.jpg,A researcher working in a lab setting,"Describe the Image:.\nA woman is standing in a laboratory, wearing a white lab coat and purple gloves. She is holding a beaker and appears to be working on a project. The laboratory is well-equipped with various equipment and tools, and the woman is"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/season-of-sharing-accepting-gifts-for-local-children-families-through-dec-8,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-season-of-sharing-800x533-1.png,,"Describe the Image:.\nThis is a picture of a Christmas tree with a sign that says ""Season of Sharing"". The tree is decorated with various ornaments, including a star and a heart. The sign is prominently displayed on the tree, drawing attention to the festive"
2023,https://www.purdue.edu/newsroom/2023/Q4/todays-top-5-from-purdue-university-4,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/armstrong-fallOG.jpg,A picture of Armstrong Hall at Purdue University.,"Describe the Image:.\nThis is a picture of a building with a glass facade and a tree-lined walkway. The building is located in a city and has a modern design. The trees are in the foreground and are in full bloom, adding a touch of"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/in-print-an-introduction-to-optimization-with-applications-to-machine-learning-5th-edition,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-in-print-zak-800x533-1.jpg,in-print-zak,"Describe the Image of the person in the image... I can provide some context, but I won't be able to identify the individuals. I can give you an idea of what's happening in the image, but not who's in it. I can provide information on"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/ready-set-enroll-open-enrollment-for-2024-benefits-begins-today,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-benefits-enrollment-800x533-1.jpg,,"Describe the Image: The image is a graphic for an open enrollment event. <OCR/> 2024 OPEN ENROLLMENT MENT 24- NOVEMBER 7, 2023 24-NOVEMBER7,2023 2023 "
2023,https://www.purdue.edu/newsroom/2023/Q4/summit-to-forge-a-national-coalition-around-building-resiliency-in-u-s-manufacturing-and-operations,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/campus-fallLO.jpg,A fountain on the Purdue University campus.,"Describe the Image:.\nThis is a picture of a fountain in a park. The fountain is surrounded by trees and bushes, and it is located in a park. The fountain is surrounded by a walkway, and there are benches nearby. The fountain is a"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/campus-community-invited-to-attend-sustainability-related-events-during-annual-green-week-celebration,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-greenweek-800x533-1.jpg,pt-greenweek-800x533,"Describe the Image: The image depicts a large cardboard box filled with various electronic devices and cables. The box is open and overflowing with a variety of items, including a computer monitor, a keyboard, a mouse, a printer, and several cables. The box is placed"
2023,https://www.purdue.edu/newsroom/2023/Q4/additional-response-on-oct-20-to-inquiries-about-some-on-campus-activities-this-week,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Fall-Purdue-2023_Z8C9151.jpg,The unfinished Block P statue on the Purdue University campus.,"Describe the Image:.\nThis is a picture of a statue of a large letter ""P"" on a rock. The statue is made of black stone and is located in a park. The statue is surrounded by trees and grass, and there are people walking in"
2023,https://www.purdue.edu/newsroom/2023/Q4/todays-top-5-from-purdue-university-3,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/campus-fallOG.jpg,The Loeb Fountain on the Purdue University campus.,"Describe the Image:.\nThis is a picture of a fountain in a park. The fountain is surrounded by trees and bushes, and it is located in a park. The fountain is a large, circular structure with water flowing from the top and cascading down into"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/new-endowed-scholarship-to-help-international-students-facing-substantial-personal-risks-and-educational-barriers,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/GatewayArchLO.jpg,,"Describe the Image:.\nThis is a picture of a college campus. The image shows a large building with a sign that says ""Purdue University"" on it. There are several people walking around the campus, and the weather appears to be nice and sunny"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/purdue-day-of-service-scheduled-for-oct-27,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-pfl-dos-800x533-1.jpg,,Describe the Image: The image depicts a group of people working together to plant trees in a park. The image is a black and white photograph of a group of people planting trees in a park. The people are wearing casual clothing and are working together to plant the trees
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/exclusive-screening-of-documentary-on-indianas-youth-mental-health-crisis-available,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Boilermaker-Special_RJM3309.jpg,The Boilermaker Special parked by the Engineering Fountain.,"Describe the Image:.\nA black train with yellow wheels and a yellow and black logo on the side is driving through a park. The train is surrounded by yellow flowers and a large statue in the background. The train is moving through a park, with a large"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/purdue-united-way-campaign-climbs-toward-700000-goal,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pt-mason-gillis-united-way-800x533-1.jpg,,"Describe the Image:.\nThis is a picture of a group of people posing for a photo. They are standing in a line, with some of them kneeling in front. The group is wearing casual clothing and are smiling for the camera. They are standing in a"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/university-senate-meeting-set-for-monday-2,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Fall-Purdue-2023_Z8C9151.jpg,The unfinished Block P statue on the Purdue University campus.,"Describe the Image:.\nThis is a picture of a statue of a large letter ""P"" on a rock. The statue is made of black stone and is located in a park. The statue is surrounded by trees and grass, and there are people walking in"
2023,https://www.purdue.edu/newsroom/2023/Q4/todays-top-5-from-purdue-university-2,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/blockp-fallOG.jpg,The Unfinished Block P on the Purdue University campus.,"Describe the Image:.\nThis is a picture of a statue of a large letter P on a rock. The statue is located in a park, surrounded by trees and bushes. The statue is made of metal and is a large letter P. It is placed on"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/supportlinc-to-feature-self-care-essentials-in-october-resources-tools-available,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Fall-Purdue-2023_Z8C9151.jpg,The unfinished Block P statue on the Purdue University campus.,"Describe the Image:.\nThis is a picture of a statue of a large letter ""P"" on a rock. The statue is made of black stone and is located in a park. The statue is surrounded by trees and grass, and there are people walking in"
2023,https://www.purdue.edu/newsroom/2023/Q4/aerovy-an-advanced-air-mobility-software-provider-completes-800000-pre-seed-funding-round,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/aerovymobility-aircraftOG-1.jpg,electric aviation charging technology,"Describe the Image:.\nA silver airplane is parked on a helipad. The plane is a large, silver airplane with four propellers. It is parked on a helipad, which is a circular platform with a white circle painted on it. The"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q4/president-chiang-continues-92-county-indiana-tour-with-visit-to-northern-part-of-state,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/GatewayArchLO-1.jpg,,"Describe the Image:.\nThis is a picture of a college campus. The image shows a large building with a sign that says ""Purdue University"" on it. There are several people walking around the campus, and the weather appears to be nice and sunny"
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-applied-research-institute-joins-abt-associates-led-team-in-49-million-usaid-climate-initiative,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pari-usaidclimateOG.jpg,A graphic representing the earth and climate change,"Describe the Image: The image depicts a globe with a green tint, sitting on top of a plant. The globe is positioned in the center of the image, and it appears to be made of glass or crystal. The globe is surrounded by a plant, which is"
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-trustees-approve-land-transfers-to-support-student-organizations-future-campus-development,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/state-grant-gatewayOG.jpg,The State and Grant Street Gateway at Purdue University.,"Describe the Image:.\nThis is a picture of a university campus. The campus is located in a city and is surrounded by trees. The campus has a large building with a clock tower, and there are several other buildings on the campus. The campus is well"
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-trustees-approve-contract-extension-for-bobinski-as-vice-president-and-director-of-intercollegiate-athletics,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/boilermaker-statue2310OG.jpg,Looking up at the Boilermaker statue.,"Describe the Image:.\nThis is a picture of a statue of a man holding a hammer and a chisel. The statue is located in front of a building, and it appears to be a representation of a blacksmith or a metalworker. The statue is"
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-trustees-approve-renaming-veterans-success-center-to-dorothy-stratton-veteran-and-military-success-center,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/unfinished-blockpLO.jpg,The Unfinished Block P statue on the Purdue University campus.,"Describe the Image:.\nThis is a picture of a large sculpture of a letter P. The sculpture is made of stone and is located in a park. It is a large, gray letter P that is standing upright. The sculpture is surrounded by trees and a"
2023,https://www.purdue.edu/newsroom/2023/Q4/todays-top-5-from-purdue-university,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/hovdeLO.jpg,Hovde Hall during the summer at Purdue University.,"Describe the Image:.\nThis is a picture of a building with a large staircase and a garden in front of it. The building is a large, multi-story structure with a large staircase leading up to it. The garden in front of the building is filled with"
2023,https://www.purdue.edu/newsroom/2023/Q4/fast-company-names-purdue-university-a-brand-that-matters-for-third-year-in-a-row,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/fastco-btm23LO.jpg,A graphic representing A Brand That Matters recognition,"Describe the Image: The image features a black and white logo for a company called ""A Brand That Matters."" The logo includes a clock tower and the text ""A Brand That Matters"" in bold, black letters. The clock tower is located on the left side of"
2023,https://www.purdue.edu/newsroom/2023/Q4/purdue-globals-new-emergency-management-degree-program-prepares-students-to-rebuild-communities-after-disasters,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/pg-degreeLO.jpg,Purdue Global logo,"Describe the Image: The image is a logo for Purdue Global, a university. The logo is a globe with a black and white color scheme. The globe is made up of two different colors, with the top half being white and the bottom half being black. The"
2023,https://www.purdue.edu/newsroom/2023/Q3/purdue-global-names-new-dean-of-school-of-health-sciences,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pglobal-graph23OG.jpg,Purdue Global,"Describe the Image: The image is a logo for Purdue Global, a university. The logo features a globe with a black and white color scheme, with the word ""Purdue"" written in bold letters above it. The globe is positioned to the left of the"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q3/drive-thru-flu-shots-at-west-lafayette-center-for-healthy-living-begin-tomorrow,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/pt-chiang-flu-shotLO.jpg,,"Describe the Image: The image depicts a man receiving an injection from a doctor. The man is seated in a chair, while the doctor is standing behind him, administering the injection. The man appears to be relaxed and calm, while the doctor is focused on the task"
2023,https://www.purdue.edu/newsroom/2023/Q3/purdue-professor-directs-lab-for-global-legume-systems-research-program,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/bean-greenhouseLO.jpg,bean greenhouse,Describe the Image:.\nThis is a picture of a greenhouse with a lot of plants inside. The plants are growing in pots and are arranged in rows. The greenhouse is well-lit and has a roof that allows sunlight to enter. The plants are healthy and
2023,https://www.purdue.edu/newsroom/2023/Q3/purdues-semiconductor-innovation-ecosystem-grows-with-chips-funded-indiana-led-semiconductor-hub-and-upcoming-summit,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/semihub-researchersLO.jpg,Two people collaborating in a lab setting,"Describe the Image:.\nTwo women are sitting at a desk, wearing lab coats and gloves, and looking at a computer screen. They are both wearing glasses and appear to be focused on the screen. One woman is pointing at the screen, while the other is"
2023,https://www.purdue.edu/newsroom/2023/Q3/purdue-global-to-host-fema-official-for-equity-in-emergency-management-webinar,https://www.purdue.edu/newsroom/wp-content/uploads/2024/06/pglobal-graph23OG.jpg,Purdue Global,"Describe the Image: The image is a logo for Purdue Global, a university. The logo features a globe with a black and white color scheme, with the word ""Purdue"" written in bold letters above it. The globe is positioned to the left of the"
2023,https://www.purdue.edu/newsroom/2023/Q3/purdue-university-named-no-6-best-value-among-public-universities-in-the-u-s-no-15-overall-by-smartasset,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/campus-fallLO-1.jpg,A fountain during the fall season on the Purdue University campus.,"Describe the Image:.\nThis is a picture of a fountain in a park. The fountain is surrounded by trees and bushes, and it is located in a park. The fountain is surrounded by a walkway, and there are benches nearby. The fountain is a"
2023,https://www.purdue.edu/newsroom/2023/Q3/purdue-university-undergraduate-national-ranking-jumps-8-spots-with-13-undergraduate-programs-in-top-10-in-the-us,https://www.purdue.edu/newsroom/wp-content/uploads/2024/07/usnwr-ugranking24LO.jpg,Purdue ranking graphic,"Describe the Image: The image depicts a tall brick and white clock tower with a black roof. The tower has a large clock on the front and a bell on top. The text in the image reads ""Purdue achieves HIGHEST-EVER RANK IN"
2023,https://www.purdue.edu/newsroom/purduetoday/2023/Q3/policy-updates-for-september,https://www.purdue.edu/newsroom/wp-content/uploads/2024/05/Boilermaker-Special_RJM3309.jpg,The Boilermaker Special parked by the Engineering Fountain.,"Describe the Image:.\nA black train with yellow wheels and a yellow and black logo on the side is driving through a park. The train is surrounded by yellow flowers and a large statue in the background. The train is moving through a park, with a large"
