title,content,summary
President Chiang to hold virtual Faculty and Staff Year-End Town Hall,"summarize:Purdue University faculty and staff are invited to attend a year-end town hall hosted by President Mung Chiang on Wednesday (Dec. 13). The session will be held virtually from 1:30-2:20 p.m.
President Chiang will review some of the initiatives over the past calendar year, thank faculty and staff colleagues, and discuss some of the ideas submitted by participants.
Faculty and staff are invited to submit ideas for discussion for the event through an online form through 5 p.m. Tuesday (Dec. 12). The town hall will be held through Zoom (meeting ID: 992 4087 7498; passcode: 181164).",[{'summary_text': 'president Mung Chiang will host a year-end town hall on Wednesday (dec. 13) the session will be virtually from 1:30-2:20 p.m.'}]
Westwood Lecture Series spring lineup released,"summarize:Purdue President Mung Chiang has announced the spring lineup for the Westwood Lecture Series, which provides an opportunity for university faculty to interact with colleagues on scholarly work from a wide range of fields.
Jan. 24: Kathryn Seigfried-Spellar — Associate Professor of Computer and Information Technology. “Who Are Your Kids Talking To? An Interdisciplinary Approach to Understanding Online Child Sexual Exploitation Offenders.”
Feb. 13: Laurent Couëtil — Professor of Large Animal Internal Medicine; Director, Donald J. McCrosky Equine Sport Medicine Center and equine research programs, College of Veterinary Medicine. “Galloping Towards Respiratory Health: Research in Equine Asthma and Performance.”
March 27: Fenggang Yang — Professor of Sociology; Director, Center on Religion and the Global East. “The Social Significance of Religion: From China to the Global East.”
April 17: Kristen Yeon-Ji Yun — Clinical Associate Professor in the Department of Music, Patti and Rusty Rueff School of Design, Art, and Performance. “Embracing AI Technology in Music Performance.”
The Westwood Lecture Series is a program aimed at enhancing the intellectual vibrancy of the Purdue West Lafayette campus.
Each lecture will take place from 4:30-5:30 p.m. at Westwood, the Purdue president’s residence.
Space is limited to the first 50 faculty who register online. Registration will be available beginning two weeks prior to each lecture. Look for details in Purdue Today.","[{'summary_text': 'each lecture will take place from 4:30-5:30 p.m. at westwood, the president’s residence . registration will be available beginning two weeks prior to each lecture .'}]"
Star of wonder: Dazzling new image of supernova Cassiopeia A released by First Lady Jill Biden and Purdue astronomer,"summarize:Info for journalists
WEST LAFAYETTE, Ind. —
Ten thousand years ago, a star exploded. Now scientists are getting their best look ever at the details of that explosion, Cassiopeia A. Space-age tools and methods are allowing them to glimpse never-seen-before details that may change forever the way scientists think about star death, star formation and the distribution of matter in the galaxy. And now, a new image of that dead star has a starring role in First Lady Jill Biden’s digital Advent calendar this year.
The James Webb Space Telescope hosts an array of tools that includes the NIRCam, a telescope that looks at light in the near-infrared wavelengths. Astronomers use NIRCam observations to map out matter in those wavelengths and assign colors to make previously unseen features visible.
Dan Milisavljevic is an astronomer and an expert on star explosions. An associate professor of physics and astronomy in Purdue University’s College of Science, Milisavljevic (pronounced mili-sahv-la-vich) leads the project team whose data contributed to the staggeringly detailed new image.
“We’ve never had this kind of look at an exploded star before,” Milisavljevic said. “Supernovae are primary drivers of cosmological evolution. The energies, their chemical abundances — there is so much that depends on our understanding of supernovae. This is the closest look we’ve had at a supernova in our galaxy.
New Webb telescope image reveals wonders, beauty, secrets of star structure and building blocks of life
Purdue astronomer speechless in the face of new images from space telescope
Uncovering a star’s demise: Supermassive black hole tears apart a giant star in a display brighter, more energetic and longer-lasting than any observed before
Milisavljevic leads a team of nearly 40 scientists and researchers from more than 30 institutions — including Harvard, Princeton and Johns Hopkins universities, as well as Los Alamos National Laboratory and the SETI Institute — in studying Cassiopeia A, one of the more puzzling objects in the galaxy. Cassiopeia A comprises the remnants of a supernova explosion and has at its heart a neutron star that doesn’t behave the way scientists think neutron stars ought to behave.
“It’s staggering,” Milisavljevic said. “Some features have popped up that are completely new — that will change the way we think about stellar life cycles. And other features that have been studied disappear in the new NIRcam image. Why? And what does that mean for our understanding of how stars form and die?”
Before the James Webb Space Telescope started studying the heavens in 2022, the Hubble Space Telescope allowed humans to see farther into space and deeper into time. The James Webb Space Telescope is bigger, more complex and orbits farther from the Earth than Hubble, allowing it unprecedented opportunities for interstellar sleuthing. The James Webb Space Telescope looks even farther into space and time and with an unprecedented range of wavelengths and strength of definition. The knowledge it uncovers may help scientists take the next small steps out into the universe — and discern where humans want to go next and why.
“The images don’t just look better — they’re different,” Milisavljevic said. “It’s not just higher resolution, but the James Webb Space Telescope is looking at infrared emissions sensitive to a variety of different elements and molecules that Hubble cannot access. It’s exciting to look at the promise of the James Webb Space Telescope coming true.”
Purdue University is a public research institution with excellence at scale. Ranked among top 10 public universities and with two colleges in the top 4 in the United States, Purdue discovers and disseminates knowledge with a quality and at a scale second to none. More than 105,000 students study at Purdue across modalities and locations, with 50,000 in person on the West Lafayette campus. Committed to affordability and accessibility, Purdue’s main campus has frozen tuition 12 years in a row. See how Purdue never stops in the persistent pursuit of the next giant leap, including its first comprehensive urban campus in Indianapolis, the new Mitchell E. Daniels, Jr. School of Business, and Purdue Computes, at https://www.purdue.edu/president/strategic-initiatives.","[{'summary_text': 'a new image of Cassiopeia A has a starring role in first lady jill biden’s digital Advent calendar this year . a team of nearly 40 scientists and researchers from more than 30 institutions contributed to the staggeringly detailed new image . ""we’ve never had this kind of look at an exploded star before,"" says an astronomer .'}]"
This week’s ‘Thumbs Up’ recipients,"summarize:“Thumbs Up” gives faculty and staff the chance to recognize others on campus for a job well done. “Thumbs Up” submissions may be made online.
Elizabeth Gray (College of Engineering): I was struggling with a problem involving our website, and Elizabeth came through with an answer, along with additional follow-up answers to my questions as they came up. She is always quick to reply and is incredibly helpful. Thank you, Elizabeth! — Dave Montgomery (Industrial Engineering)
Dustin Baldwin (Veterinary Medicine IT): A big thanks to Dustin from Purdue Veterinary Medicine IT for fixing our pharmacy label printer on Thanksgiving. He was the IT person on call, and he cheerfully arrived minutes after I called him. He got the printer up and running in short order with no disruption to our doctors or patients. No one even knew there was a problem. Thanks for your fast and pleasant customer service, Dustin! You made all our jobs easier. I hope you still had a happy Thanksgiving! — Trinna Pierce (Veterinary Medical Teaching Hospital)
Emma Welsh (Animal Sciences): A huge thank you to Emma Welsh, Department of Animal Sciences building deputy, for troubleshooting, networking with appropriate IT staff, receiving quotes and managing the repair of the audiovisual system in the Purina Pavilion. The pavilion hosts classes and events throughout the week, and its audiovisual system is critical to the success of each of the endeavors. Emma’s ability to communicate and collaborate with the appropriate personnel across campus allowed for a resolution that had minimal impact on the department. She is to be commended for her diligence and creativity in making this happen. — Paul Ebner (Animal Sciences)
Tim Kerr (College of Agriculture), Miranda Baer (Mechanical Engineering), Linda Gregory and Lynette Bleed (both Exploratory Studies): Thank you to everyone who has helped with the PACADA Awards Committee this semester! I really appreciate your efforts in helping recognize others around campus. — Katie May (College of Pharmacy)
Patty Turner (Materials Management Administration): Patty is so outstanding in her area that when you ask someone if they’ve asked Patty, they know who you are talking about just by her first name. Never once in my time at Purdue has Patty ever turned me away when I have contacted her for assistance. Now that she’s retiring, I felt the need to add my appreciation of her wealth of knowledge and the help she’s always willing to give. Happy retirement, Patty; you’ll be missed! — Tania Bell (Procurement Center)
Volunteers for the Fall Undergraduate Research Expo: With over 350 student presentations from Nov. 14-21, we had a wonderful turnout of 171 volunteer judges, who provided important feedback to student presenters while helping academic units choose their top awards. With consistent support from the Purdue community, we can continue growing this event without losing the individualization of the evaluation process. Additionally, we had 30 day-of volunteers who helped with the expo’s operations. Thank you! — Purdue Office of Undergraduate Research
Chris Adair (Student Farm Operations) and Jason Adams (Plant Science Management): Thank you to Chris and Jason for giving my high school-age Girl Scout troop a tour of the Purdue Student Farm and Indiana Corn and Soybean Innovation centers in October. Along with meeting other badge requirements, they were able to earn the Sow What Journey in a day and learn more about what it takes to get farm to fork. — Julie Hickman (Ag Research and Grad Education)
Michelle McBrite (Purdue for Life), Pat Carducci and Gloria Pacheco (both Building Services): Michelle, Pat and Gloria go above and beyond on a daily basis to make sure Dauch Alumni Center is one of the best-kept buildings on campus and is always ready to host our many accomplished alumni from around the world. They truly separate themselves on holidays, especially at Christmastime, with decorations, contests, hot chocolate and cookies. They are the best staff around and are appreciated for their dedication, hard work and Boilermaker spirit! — Tom Smith (Purdue for Life)
Kurt Patel (Purdue Global): Kurt went over and beyond assisting me with a Gift of Knowledge intake form. His due diligence and follow-through were much appreciated. — Lisa Wilson (Purdue Northwest)
Jessica Joya (Computer Information Technology): Jessica pulled together our senior recognition banquet and did an amazing job. It now feels like a planned event, and I know the students appreciated it. Thank you for all you do! —  Melody Carducci (Purdue Polytechnic Institute)","[{'summary_text': '""Thumbs Up"" gives faculty and staff the chance to recognize others on campus for a job well done . submissions may be made online .'}]"
Purdue Today announces semester break schedule,"summarize:Purdue Today will publish daily through Dec. 21 before winter break starts on Dec. 22. In the new year, Purdue Today will publish as needed Jan. 2-5 before returning to its regular schedule on Jan. 8.","[{'summary_text': 'Purdue Today will publish daily through Dec. 21 before winter break starts on Dec. 22 . in the new year, it will publish as needed Jan. 2-5 before returning to its regular schedule on Jan. 8 .'}]"
Employees should update address information ahead of tax form distribution,"summarize:In preparation for distribution of 2023 W-2 and other tax forms, Payroll Services urges Purdue employees to review and update their home address by Dec. 31 in SuccessFactors (under Personal Information).
Employees with an apartment or unit number must add it, if missing, or update the information in Line 2 of the home address. The 2023 W-2s will be mailed in mid-January, and an incomplete or incorrect address will cause the form to be undeliverable by the U.S. Postal Service, leading to delays for employees to access needed information.
Employee self-service resources are available for assistance:
Video
Checklist
Quick Reference Guide
Employees also are strongly encouraged to register for secure online W-2 access at ADP. Instructions are available in SuccessFactors on the ADP W-2 Services tile. Registration and form access can be done at any time; however, to opt out of a mailed W-2 form, an employee must choose the paperless option by Dec. 31. By registering, employees can elect to either continue receiving a paper copy or only receive an electronic copy of their W-2.
Other benefits of the electronic option include earlier delivery (by 7-10 days) and elimination of mail security concerns.
Employees can access the Quick Reference Guide for login instructions via ADP W-2 Services Additional Action tile under Organizational Updates in SuccessFactors. The Quick Reference Guide is also linked in the View Company Documents quick action tile.",[{'summary_text': 'the 2023 W-2s will be mailed in mid-January . an incomplete or incorrect address will cause the form to be undeliverable .'}]
Purdue Global Law School launches AI course,"summarize:WEST LAFAYETTE, Ind. —
Purdue Global Law School has introduced a new course to address the evolving artificial intelligence landscape and the challenges and opportunities it presents for society and the law.
The new course, CL810 — Artificial Intelligence Law, was designed to help students understand AI’s legal impact, particularly in the areas of intellectual property, privacy and regulation of the technology itself.
“Law schools should be preparing students not just for the world as it exists today but also for how it is likely to exist in the future,” said Martin Pritkin, dean of the law school. “Purdue Global Law School, which has technological innovation woven into its DNA as the nation’s first fully online law school, seeks to be ahead of the curve in addressing the impact of game-changing AI.”
Purdue Global: Don’t fear generative AI tools in the classroom
Concord Law School officially renamed Purdue Global Law School
Purdue Global law degree allows insurance executive to take next career steps
The course, which will be taught by Shaun Jamison, associate dean for academic affairs, will feature 15 modules that touch on topics such as ethics and governance, plagiarism, AI and criminal justice, and the future of AI and the law.
“One of the best ways that students learn is through critique and self-reflection,” said Jamison, who created the course with Pritikin. “AI can help by creating an essay answer or an arbitration decision based on a fact scenario, and the student can then critique it. For the reflection part, a student could also run some of their work through AI for critique and feedback in addition to the feedback they get from the professor. We’re also investigating using AI for client interviewing simulations.”
Regarding concerns about the dangers of AI when it comes to practicing law, Jamison believes the benefits outweigh the risks but says it’s important to keep a healthy balance of AI and human interaction.
“We need to consider the possibility of bias in AI or even where it may not perform as well as we expect,” Jamison said. “That’s why it’s important to have human oversight and quality control of AI. When you use an AI tool, do you know what steps were taken to avoid bias? What data was used? This is important in the law because the law evolves. If we train AI based on discriminatory applications of the law, then the AI will be influenced by this and perpetuate past wrongs.”
Pritikin said, “AI does, or soon will, affect virtually every aspect of our society and our economy — and so does the law. Law students and others need to understand how these two critical fields intersect so that they can better navigate the changing legal profession or whatever field they may be in.”
Students can begin signing up now through the school’s academic catalog for the course, which begins Jan. 3 at the start of the next term. The course is an elective in which students will earn three credits upon completion.
For more information or to register and attend this class, contact pglawcoordinator@support.purdueglobal.edu.
Purdue Global Law School is part of Purdue Global, the public, nonprofit, online school for working adults backed by Purdue University. Founded in 1998, Purdue Global Law School was the first to offer students a traditional law school program in an affordable, online format. For more information, please visit PurdueGlobalLawSchool.edu.","[{'summary_text': 'the new course, CL810 — Artificial Intelligence Law, was designed to help students understand AI’s legal impact . the course will feature 15 modules that touch on topics such as ethics and governance, plagiarism, AI and criminal justice .'}]"
European technology leader imec opens innovation hub at Purdue,"summarize:WEST LAFAYETTE, Ind. —
Purdue University and Belgium-based technological innovation organization imec on Friday (Dec. 8) celebrated the grand opening of a research and development hub at the Convergence Center for Innovation and Collaboration on Purdue’s campus. The presence of imec at Purdue will help facilitate groundbreaking advancements in semiconductor technologies.
To mark the occasion, Purdue President Mung Chiang was joined by Luc Van den hove, president and CEO of imec, and Jan Jambon, minister-president of Flanders, the Flemish region of Belgium, following their visit with the Indiana Economic Development Corporation and Gov. Eric Holcomb in Indianapolis.
“Purdue University is excited to open the joint center with imec and IEDC on our campus after the ribbon-cutting ceremony today with Minister-President Jambon and CEO Van den hove,” Chiang said. “Purdue is established as a leading university in semiconductors through successes such as the Department of Defense Microelectronic Commons Hub, SCALE workforce consortium, U.S.-Japan semiconductor alliance, U.S.-India semiconductor partnership and more. This partnership with imec, the crown jewel of chips innovation in Europe, will flourish as a strategically pivotal moment in the growing ecosystem of semiconductors in the heart of the Silicon Heartland. It also builds a bridge between our university and universities and companies in Flanders, in Belgium and in Europe.”
U.S.-Europe semiconductors collaboration milestone as Purdue, imec, Indiana announce partnership
Purdue center addresses pressing challenge of securing semiconductor chips
Purdue efforts drive future workforce development for semiconductor industry
Chipshub: An online platform for everything semiconductors
Purdue launches comprehensive semiconductor and microelectronics education at scale
The Purdue location represents imec’s first Midwest research office, adding to its offices in California and Florida.
With imec and IEDC’s investment, researchers from the global R&D technology company will work side by side with faculty and students at the Birck Nanotechnology Center, located in Discovery Park District at Purdue. Similarly, students and faculty will have an opportunity to work in Belgium.
The partnership is the result of an unprecedented collaboration announced in May among imec, the IEDC and the university.
“Working together, we can leverage each other’s capabilities and enhance the quality and pace of innovation to improve technological outcomes more than we could independently,” said Mark Lundstrom, Purdue’s chief semiconductor officer and senior advisor to the president. “The collaboration aims to capitalize on imec’s extensive global expertise and Purdue’s academic prowess to further propel Indiana into a prominent position within the semiconductor innovation ecosystem.”
The Convergence Center, which is already a hub for interdisciplinary research and collaboration, will now house imec staff, who, in collaboration with Purdue researchers, will aim to push the boundaries of nano- and digital technology innovations. The trans-Atlantic partnership is poised to elevate Indiana’s status in the semiconductor industry by fostering collaborative research and development initiatives among academia, industry and economic development partners.
“The state is a strong supporter of this partnership because of the strong potential for economic development benefits,” said Lundstrom, who was named in April to lead Purdue’s semiconductor task force. “A significant imec presence will help draw other companies here that already partner with imec in Europe and now can collaborate with imec on Purdue’s campus.”
The collaboration aligns with Purdue’s commitment to academic excellence, positions the university at the forefront of cutting-edge technologies and further underscores the multifaceted approach to solidify its position as the heart of the Silicon Heartland.
The addition of the imec location is the latest in an ever-expanding list of global partnerships and initiatives that Purdue has forged to build the collaborative network that will define the future of semiconductor, nanoelectronics and digital technologies R&D at Purdue.
Purdue’s growing semiconductor innovation ecosystem is one of three key pillars of Purdue Computes, a comprehensive initiative across computing departments, physical AI, semiconductors and quantum to enable unparalleled excellence at scale.
Purdue University is a public research institution with excellence at scale. Ranked among top 10 public universities and with two colleges in the top 4 in the United States, Purdue discovers and disseminates knowledge with a quality and at a scale second to none. More than 105,000 students study at Purdue across modalities and locations, with 50,000 in person on the West Lafayette campus. Committed to affordability and accessibility, Purdue’s main campus has frozen tuition 12 years in a row. See how Purdue never stops in the persistent pursuit of the next giant leap, including its first comprehensive urban campus in Indianapolis, the new Mitchell E. Daniels, Jr. School of Business, and Purdue Computes, at https://www.purdue.edu/president/strategic-initiatives.","[{'summary_text': 'the convergence center for innovation and collaboration will house imec staff . more than 105,000 students study at Purdue across modalities and locations, with 50,000 in person on the campus .'}]"
"Purdue trustees approve plans for Mitchell E. Daniels, Jr. School of Business building, endorse 13th consecutive tuition freeze, ratify appointment of next chancellor of Purdue University Northwest","summarize:WEST LAFAYETTE, Ind. —
The Purdue University Board of Trustees on Friday (Dec. 8) gave approval to plan, finance, construct and award construction contracts for a new building for the Mitchell E. Daniels, Jr. School of Business. The board also endorsed President Mung Chiang’s request for a 13th consecutive tuition freeze, approved updated housing and dining plans, ratified faculty and staff positions, and approved two new degree programs, among its actions.
The board ratified the appointment of Kenneth C. “Chris” Holford as chancellor of Purdue University Northwest, effective July 1, 2024.
In addition, Chiang announced the return of commercial airline service to Purdue University Airport, with daily service to O’Hare International Airport starting in April 2024.
Purdue trustees endorse 13th consecutive tuition freeze; approve updated housing, dining plans
Commercial air service returns to Purdue University Airport
Purdue University names Chris Holford as next chancellor of Purdue University Northwest
Purdue trustees approve Daniels School building construction
Purdue trustees ratify faculty, staff positions; award posthumous degree; approve new degree programs, resolutions of appreciation and namings
See the stories on each in Purdue Today.","[{'summary_text': 'the board ratified the appointment of Kenneth C. ""Chris"" Holford as chancellor of Purdue University Northwest effective July 1, 2024 . the board also approved updated housing and dining plans .'}]"
University raises stipend minimum again for PhD students,"summarize:Dear Purdue graduate students,
We write to provide you an update on our continued efforts to support and invest in your education and efforts to drive our university forward. In the Office of the Vice Provost for Graduate Students and Postdoctoral Scholars, not only do daily support functions continue, but new programs and additional resources are also deployed.
Beginning with Fall semester, on August 12, 2024, the new minimum stipend will increase to $28,000 for FY appointments.
As this universitywide minimum applies to both TAs and RAs, a university fund will be available for faculty whose current funded projects do not permit rebudgeting to apply for potential bridge funds.
This latest investment, when combined with the previously announced investment over the last two years, will have raised the minimum stipend by about 35%, bringing the university increase in graduate student support to $22 million.
Even with this new minimum, we expect around 80% of graduate students will receive stipends above that amount. We are also engaging with each college for a careful review to achieve competitive stipend levels for their respective disciplines.
The university will also be supporting a new Presidential Excellence PhD Award to assist with recruiting top students. These awards will be a $10,000 supplement on top of a base stipend over a period of four years. Recipients of the award are expected to maintain satisfactory academic and research progress as defined by their academic unit and research advisor and to participate in professional development and mentoring activities organized for award recipients. Each year 100 new awards will be offered. Colleges’ allocations will be proportional to their PhD student enrollment.
In total, the university now invests $229 million in graduate student stipends and fellowships.
We are also pleased to announce the anticipated launch in January of a training module for graduate students on freedom of expression and free inquiry. More information, including frequently asked questions, will be posted to the Human Resources and Vice Provost for Graduate Students and Postdoctoral Scholars websites.
Again, we thank you for your contributions to excellence at scale at Purdue University.
Patrick WolfeProvost and Executive Vice President for Academic Affairs and Diversity
Eric L. BarkerJeannie and Jim Chaney Dean of Pharmacy and ProfessorAssociate Provost for Graduate Programs (acting)","[{'summary_text': 'beginning with Fall semester, the new minimum stipend will increase to $28,000 for FY appointments . a university fund will be available for faculty whose current funded projects do not permit rebudgeting .'}]"
Board of Trustees meeting set for Friday; special issue of Purdue Today to follow,"summarize:The Board of Trustees will hold its stated meeting at 9:45 a.m. ET Friday (Dec. 8) in Stewart Center, Room 326. The meeting will be livestreamed.
A special issue of Purdue Today featuring Board of Trustees’ news will be sent following the meeting’s conclusion.","[{'summary_text': 'the Board of Trustees will hold its stated meeting at 9:45 a.m. ET Friday (Dec. 8) in Stewart Center, Room 326 .'}]"
Board of Trustees meeting set for Friday; special issue of Purdue Today to follow,"summarize:The Board of Trustees will hold its stated meeting at 9:45 a.m. ET Friday (Dec. 8) in Stewart Center, Room 326. The meeting will be livestreamed.
A special issue of Purdue Today featuring Board of Trustees’ news will be sent following the meeting’s conclusion.","[{'summary_text': 'the Board of Trustees will hold its stated meeting at 9:45 a.m. ET Friday (Dec. 8) in Stewart Center, Room 326 .'}]"
Travel ADA accommodation process change to take effect Jan. 1,"summarize:Beginning Jan. 1, travelers who require Americans with Disabilities Act (ADA) accommodations for a disability must request and receive approval for the accommodation through Human Resources. A reasonable accommodation request form is available on the Human Resources website.
Travelers must provide Purdue’s Travel Center a copy of the ADA accommodation approval prior to traveling. Purdue Travel will retain the accommodation approval on file for future travel. Purdue Travel will not provide medical exceptions without an approved ADA accommodation from Human Resources.
Please be aware the approval process can take four to six weeks. Purdue Travel recommends beginning the process as early as possible to ensure the process is completed prior to travel.",[{'summary_text': 'travelers who require accommodations for a disability must request and receive approval through Human Resources . the approval process can take four to six weeks .'}]
Purdue trustees approve Daniels School building construction,"summarize:WEST LAFAYETTE, Ind. —
To accommodate student enrollment growth across the university and strategic initiatives in the Mitchell E. Daniels, Jr. School of Business, Purdue University trustees on Friday (Dec. 8) gave approval to plan, finance, construct and award construction contracts for an approximately 164,000-square-foot building near the intersection of Mitch Daniels Boulevard and Sheetz Street on the West Lafayette campus.
The facility, which will include new flexible space in support of academic instruction and conferences, will provide modern teaching and research labs for financial trading, data visualization, behavioral research and experiential learning. The building will feature one floor below ground and five above ground, as well as mechanical space on the sixth floor.
To support Purdue’s Classroom Master Plan, the building will feature three large general-purpose, centrally scheduled classrooms — one accommodating 500 students and two accommodating 250 students apiece.
The building, which will be connected to the Krannert Building immediately to its east, will give the Daniels School three facilities, joining the Krannert Building and Jerry S. Rawls Hall. All are connected, both above and below ground.
The new facility will be the second-largest classroom building on the Purdue campus, behind only the Wilmeth Active Learning Center.
“We’re thrilled with what our design committee and architects have drafted,” said Jim Bullard, the Dr. Samuel R. Allen Dean of the Daniels School. “First, with its striking transparent exterior, the building will draw students, faculty, alumni and visitors to campus inside to see what’s happening.
“More importantly, it is a student-centered building. It will provide learning environments and study spaces at the cutting edge of business school facilities. There will be space for research centers and partnership opportunities with practitioners, as well as student advising areas. Our large classroom spaces will accommodate not only business school students, but those from other schools and units on campus.”
The scope and location of this project aligns with the Daniels School master plan and the 2018 Giant Leaps campus master plan.
Demand has never been higher for a Purdue business education. The Daniels School is expected to enroll 4,000 students in fall 2024, up more than 1,600 students from five years ago. Applications were up 18% this fall from a year ago. The new building has to be large enough to house a burgeoning student population while also creating a collaborative culture.
As part of the project, a portion of the first floor of the adjacent Krannert Building will be renovated. The nearby Krannert Center for Executive Education and Research and the Wesley Foundation facilities will be demolished.
Construction is scheduled to begin in July 2024 and be completed in April 2027. The estimated total project cost of $168 million will be financed by gift funds. Of the total, $125 million will be for the new building and related utility work, while the remaining $43 million will be for the three large classrooms, land acquisition and building demolition, renovations to the Krannert Building, and miscellaneous additional site work.
In other action, trustees gave approval to: Plan, finance, construct and award construction contracts for the Burke Boilermaker Aquatic Center mechanical project on the West Lafayette campus. This project will replace five air handling units and condensers with new units served by campus chilled water. Additionally, new chilled water piping, pumps and heat exchangers and temperature controls will be installed, and supporting electrical, mechanical and sprinkler systems will be adjusted. The result will be improved reliability, dehumidification and indoor air quality. Work is scheduled to begin in December 2025 and be completed in April 2027. The estimated cost of $11.75 million will be financed by Auxiliary Funds — Other ($8.15 million) and Auxiliary Funds — Athletics ($3.6 million).
Plan, finance, construct and award construction contracts for the music center addition at Purdue Fort Wayne. This project will construct an approximately 26,000-gross-square-foot addition to the existing music center, providing new music rehearsal rooms, recording studios, student editing suites, advanced music technology, a critical listening laboratory, a small classroom and related support spaces. It will allow for expanded student collaboration opportunities, leverage existing specialty music spaces, provide state-of-the-art music technology found at few other universities and consolidate programming into a single, on-campus location. Construction is scheduled to begin in September 2024 and be completed in March 2026. The estimated cost of $22 million will be financed by capital cash appropriation ($15 million) and gift funds ($7 million).
Execute a lease for Third and West in West Lafayette. To provide additional student housing capacity on the West Lafayette campus for the 2025-26 and 2026-27 academic years, Purdue will lease 401 apartments (984 beds) from Collegiate Housing Foundation. Third and West is a five-story, 248,000-square-foot housing facility located at 300 N. McCutcheon Drive in West Lafayette, adjacent to campus and on land leased by Purdue Research Foundation. The total two-year lease commitment of $20,619,091 will be financed by Auxiliary Funds — Housing/Dining.
Execute a lease for a portion of Lux on Capitol in Indianapolis. To provide housing for Purdue University in Indianapolis students for the 2024-25 and 2025-26 academic years, Purdue Research Foundation will master lease 400 beds in 122 apartments from Scion Group, and the lease will be assigned to the university following required approvals. Lux on Capitol is an 11-story, 370,000-square-foot housing facility that includes 672 beds in 196 apartments at 501 N. Capitol Ave., near the Purdue University in Indianapolis campus. The total two-year lease commitment of $9,140,022 will be financed by Auxiliary Funds — Housing/Dining.
Purdue University is a public research institution with excellence at scale. Ranked among top 10 public universities and with two colleges in the top 4 in the United States, Purdue discovers and disseminates knowledge with a quality and at a scale second to none. More than 105,000 students study at Purdue across modalities and locations, with 50,000 in person on the West Lafayette campus. Committed to affordability and accessibility, Purdue’s main campus has frozen tuition 12 years in a row. See how Purdue never stops in the persistent pursuit of the next giant leap, including its first comprehensive urban campus in Indianapolis, the new Mitchell E. Daniels, Jr. School of Business, and Purdue Computes, at https://www.purdue.edu/president/strategic-initiatives.","[{'summary_text': 'the Daniels School is expected to enroll 4,000 students in fall 2024, up more than 1,600 students from five years ago . a portion of the first floor of the Krannert Building will be renovated . the remaining $43 million will be for the three large classrooms, land acquisition and building demolition .'}]"
